Sex,Olfactory Bulbosmg,Tecttum opticummg,Cerebelummg,Hypothalamusmg,Telencephalonmg,Avg,Sex,Olfactory Bulbosmg,Tecttum opticummg,Cerebelummg,Hypothalamusmg,Telencephalonmg
F,0.017,0.636,0.356,0.6,0.423,0.4064,M,0.034,0.943,0.593,0.766,0.7
F,0.009,0.449,0.289,0.42,0.319,0.2972,M,0.028,0.972,0.663,0.765,0.735
F,0.008,0.498,0.29,0.404,0.33,0.306,M,0.023,0.923,0.618,0.972,0.709
F,0.012,0.709,0.41,0.64,0.61,0.4762,M,0.015,0.998,0.689,0.848,0.716
F,0.008,0.482,0.269,0.454,0.386,0.3198,M,0.017,0.806,0.531,0.755,0.667
F,0.012,0.563,0.314,0.469,0.407,0.353,M,0.015,0.617,0.369,0.518,0.458
F,0.008,0.601,0.38,0.592,0.378,0.3918,M,0.014,0.611,0.388,0.465,0.435
F,0.012,0.612,0.374,0.764,0.52,0.4564,M,0.022,0.844,0.539,0.993,0.696
F,0.013,0.687,0.369,0.592,0.438,0.4198,M,0.021,1.174,0.887,1.402,0.835
F,0.01,0.669,0.388,0.656,0.47,0.4386,M,0.028,1.031,0.657,0.982,0.791
F,0.012,0.59,0.324,0.535,0.411,0.3744,M,0.017,1.01,0.649,0.928,0.855
F,0.008,0.406,0.205,0.399,0.259,0.2554,M,0.019,0.727,0.457,0.592,0.555
F,0.015,0.516,0.299,0.334,0.319,0.2966,M,0.011,0.739,0.402,0.587,0.468
F,0.009,0.434,0.225,0.417,0.263,0.2696,M,0.016,0.552,0.335,0.548,0.61
F,0.015,0.591,0.379,0.557,0.411,0.3906,M,0.021,0.833,0.448,0.707,0.639
F,0.009,0.507,0.305,0.393,0.329,0.3086,M,0.023,0.737,0.441,0.589,0.536
F,0.011,0.54,0.312,0.304,0.436,0.3206,M,0.028,0.907,0.583,0.819,0.698
F,0.011,0.661,0.387,0.578,0.5,0.4274,M,0.027,0.998,0.639,0.876,0.801
F,0.009,0.556,0.332,0.523,0.426,0.3692,M,0.016,0.828,0.611,0.792,0.636
F,0.012,0.545,0.296,0.436,0.369,0.3316,M,0.014,0.868,0.527,0.772,0.712
F,0.009,0.541,0.294,0.516,0.423,0.3566,,,,,,
F,0.011,0.57,0.339,0.536,0.414,0.374,,,,,,
