Sex,"Bulbus olfactorius, mm3","Telencephalon, mm3","Tectum opticum, mm3","Cerebellum, mm3","Hypothalamus, mm3",,,Sex,"Bulbus olfactorius, mm3","Telencephalon, mm3","Tectum opticum, mm3","Cerebellum, mm3","Hypothalamus, mm3"
M,0.108934725,0.968831046,3.242952999,1.046019454,1.457636159,,,F,0.10280862,0.817389001,3.318981112,0.941623283,1.381777169
M,0.153544294,1.021289884,3.919647344,1.02622009,1.336224075,,,F,0.119581583,0.8733748,3.322375603,0.80270415,1.33412968
M,0.061355305,0.809962015,3.078666553,0.90433572,1.110816897,,,F,0.140391493,0.944806763,3.648027338,1.03639885,1.151707867
M,0.110759991,0.888756562,3.355063874,0.73532903,1.045226725,,,F,0.039207076,0.83698678,3.159138449,0.755176042,1.051239734
M,0.086439875,1.017140102,3.335923721,0.927766765,1.123234565,,,F,0.143413705,1.220864793,3.98897444,1.021562155,1.334590447
M,0.075909256,0.832212606,3.125382035,0.76105082,1.19148043,,,F,0.096098701,0.886243288,3.559457987,0.713304895,1.217210074
M,0.132691449,0.954089123,3.452586764,1.112148932,1.2914302,,,F,0.115585477,0.9741639,3.663269822,0.89914895,1.254626442
M,0.091116659,0.992014429,3.569691201,0.970157322,1.330024666,,,F,0.110347395,0.747038532,3.469655561,0.967107882,1.105476189
M,0.164360797,1.181072333,3.825156877,0.967133015,1.33015033,,,F,0.095001762,0.844259043,3.077001509,0.881147624,1.065378995
M,0.097310832,0.975711658,3.741310125,1.076334776,1.096625276,,,F,0.080896011,0.726337007,3.175389907,0.755938402,1.019182922
M,0.124125373,1.219834351,4.037769657,1.164337069,1.436015719,,,F,0.087977684,0.741482887,3.110647966,0.711193745,1.13883362
M,0.139000814,1.271924051,4.233598479,1.254928035,1.37924871,,,F,0.104338575,0.748490733,2.95384715,0.707895073,1.025421078
M,0.103983575,1.460308346,4.270916673,1.022852303,1.267670335,,,F,0.085512581,0.792744516,3.38454458,0.762389139,1.022140732
