Sex,Predation,Brain Mass (Mg),,,Sex,Predation,Brain Mass (Mg),,Sex,Predation,Brain Mass (Mg),,Sex,Predation,Brain Mass (Mg)
Male,no,2.9,,,Female,0,4,,,,,,Female,1,3.4
Male,no,4.9,,,Female,0,3.4,,,,,,Female,1,2.8
Male,no,3.4,,,Female,0,3.1,,,,,,Female,1,3.6
Male,no,2.6,,,Female,0,3.7,,,,,,Female,1,2.7
Male,no,2.8,,,Female,0,4.8,,,,,,Female,1,3.9
Male,no,4.1,,,Female,0,4.8,,,,,,Female,1,3
Male,no,3,,,Female,0,2.6,,,,,,Female,1,3.2
Male,no,2.9,,,Female,0,2.4,,,,,,Female,1,1.7
Male,no,2.6,,,Female,0,3.2,,,,,,Female,1,2.1
Male,no,3.1,,,Female,0,3.7,,,,,,Female,1,1.3
Male,no,3.5,,,Female,0,3.5,,,,,,Female,1,2.5
Male,no,4.7,,,Female,0,2.7,,,,,,Female,1,4.8
Male,no,3.7,,,Female,0,3.4,,,,,,Female,1,2.9
Male,no,2,,,Female,0,4.2,,,,,,Female,1,2.7
Male,no,2.5,,,Female,0,2.3,,,,,,Female,1,4.1
Male,no,2.9,,,Female,0,2.7,,,,,,Female,1,3.2
Male,no,2.5,,,Female,0,4.1,,,,,,Female,1,3.6
Male,no,2.2,,,Female,0,3.3,,,,,,Female,1,4.5
Male,no,2.4,,,Female,0,3.1,,,,,,Female,1,3.1
Male,no,3.4,,,Female,0,3.1,,,,,,Female,1,2.8
Male,no,2.7,,,Female,0,3.6,,,,,,Female,1,3.1
Male,no,3,,,Female,0,3,,,,,,Female,1,2.4
Male,no,2.4,,,Female,0,1.8,,,,,,Female,1,3.2
Male,no,3.2,,,Female,0,3.5,,,,,,Female,1,1.8
Male,no,2.4,,,Female,0,3,,,,,,Female,1,2.9
Male,no,2.9,,,Female,0,2.3,,,,,,Female,1,2.4
Male,no,2.5,,,Female,0,3.3,,,,,,Female,1,2.5
Male,no,2.8,,,Female,0,2,,,,,,Female,1,2.6
Male,no,3.6,,,Female,0,3.5,,,,,,Female,1,2.6
Male,no,4.2,,,Female,0,4,,,,,,Female,1,2
Male,no,3,,,Female,0,2.9,,,,,,Female,1,1.8
Male,no,3.6,,,Female,0,3.1,,,,,,,,
Male,no,2.5,,,Female,0,2.8,,,,,,,,
Male,no,1.7,,,Female,0,3.4,,,,,,,,
Male,no,2.1,,,Female,0,2.9,,,,,,,,
Male,no,3.8,,,Female,0,3.4,,,,,,,,
Male,yes,3.4,,,Female,0,2.6,,,,,,,,
Male,yes,3.1,,,Female,0,2.8,,,,,,,,
Male,yes,2.8,,,Female,0,2.9,,,,,,,,
Male,yes,3.9,,,Female,0,3.8,,,,,,,,
Male,yes,2.6,,,Female,0,2.5,,,,,,,,
Male,yes,2.7,,,,,,,,,,,,,
Male,yes,3.6,,,,,,,,,,,,,
Male,yes,2.1,,,,,,,,,,,,,
Male,yes,1.8,,,,,,,,,,,,,
Male,yes,1.8,,,,,,,,,,,,,
Male,yes,2.4,,,,,,,,,,,,,
Male,yes,2.9,,,,,,,,,,,,,
Male,yes,3,,,,,,,,,,,,,
Male,yes,3.1,,,,,,,,,,,,,
Male,yes,2.2,,,,,,,,,,,,,
Male,yes,3.8,,,,,,,,,,,,,
Male,yes,3,,,,,,,,,,,,,
Male,yes,2.2,,,,,,,,,,,,,
Male,yes,2.1,,,,,,,,,,,,,
Male,yes,2,,,,,,,,,,,,,
Male,yes,2.1,,,,,,,,,,,,,
Male,yes,2.3,,,,,,,,,,,,,
Male,yes,2.6,,,,,,,,,,,,,
Male,yes,2.7,,,,,,,,,,,,,
Male,yes,2.5,,,,,,,,,,,,,
Male,yes,2.8,,,,,,,,,,,,,
Male,yes,2.4,,,,,,,,,,,,,
Male,yes,1.9,,,,,,,,,,,,,
Male,yes,2.8,,,,,,,,,,,,,
Male,yes,3.6,,,,,,,,,,,,,
Male,yes,1.9,,,,,,,,,,,,,
Male,yes,2.5,,,,,,,,,,,,,
Male,yes,2.6,,,,,,,,,,,,,
Male,yes,3.1,,,,,,,,,,,,,
Male,yes,2.1,,,,,,,,,,,,,
Male,yes,2.1,,,,,,,,,,,,,
Male,yes,2.1,,,,,,,,,,,,,
Male,yes,3.8,,,,,,,,,,,,,
Male,yes,3,,,,,,,,,,,,,
Male,yes,3.3,,,,,,,,,,,,,
Male,yes,2.4,,,,,,,,,,,,,
Male,yes,2.8,,,,,,,,,,,,,
Male,yes,3.8,,,,,,,,,,,,,
