Sex,River,Population,ln brain,,Population,ln brain
Female,Arima,HP,1.686398954,,HP,1.686398954
Female,Arima,HP,1.824549292,,HP,1.824549292
Female,Arima,HP,1.987874348,,HP,1.987874348
Female,Arima,HP,2.128231706,,HP,2.128231706
Female,Arima,HP,1.987874348,,HP,1.987874348
Female,Arima,HP,1.916922612,,HP,1.916922612
Female,Arima,HP,1.945910149,,HP,1.945910149
Female,Arima,HP,1.887069649,,HP,1.887069649
Female,Arima,HP,1.85629799,,HP,1.85629799
Female,Arima,HP,1.871802177,,HP,1.871802177
Female,Arima,HP,1.916922612,,HP,1.916922612
Female,Arima,HP,1.931521412,,HP,1.931521412
Female,Arima,HP,1.840549633,,HP,1.840549633
Female,Arima,HP,1.774952351,,HP,1.774952351
Female,Arima,HP,1.85629799,,HP,1.85629799
Female,Arima,HP,1.686398954,,HP,1.686398954
Female,Arima,HP,1.774952351,,HP,1.774952351
Female,Arima,HP,1.840549633,,HP,1.840549633
Female,Arima,HP,1.887069649,,HP,1.887069649
Female,Arima,HP,1.871802177,,HP,1.871802177
Female,Arima,HP,1.871802177,,HP,1.871802177
Female,Arima,R,1.887069649,,HP,2.116255515
Female,Arima,R,1.85629799,,HP,1.987874348
Female,Arima,R,2.079441542,,HP,1.945910149
Female,Arima,R,1.791759469,,HP,2.128231706
Female,Arima,R,1.945910149,,HP,1.85629799
Female,Arima,R,1.931521412,,HP,1.791759469
Female,Arima,R,2.116255515,,HP,1.916922612
Female,Arima,R,2.066862759,,HP,1.974081026
Female,Arima,R,1.871802177,,HP,1.945910149
Female,Arima,R,1.931521412,,HP,1.931521412
Female,Arima,R,1.840549633,,HP,1.945910149
Female,Arima,R,1.916922612,,HP,2.00148
Female,Arima,R,1.85629799,,HP,1.791759469
Female,Arima,R,1.840549633,,HP,1.987874348
Female,Arima,R,1.824549292,,HP,2.00148
Female,Arima,R,1.840549633,,HP,1.987874348
Female,Arima,R,1.887069649,,HP,1.871802177
Female,Guanapo,R,2.186051277,,HP,1.757857918
Female,Guanapo,R,2.091864062,,HP,1.974081026
Female,Guanapo,R,2.066862759,,HP,2.014903021
Female,Guanapo,R,2.066862759,,HP,1.774952351
Female,Guanapo,R,2.054123734,,HP,2.041220329
Female,Guanapo,R,2.066862759,,HP,1.704748092
Female,Guanapo,R,2.091864062,,HP,1.757857918
Female,Guanapo,R,1.916922612,,HP,1.85629799
Female,Guanapo,R,2.028148247,,HP,1.029619417
Female,Guanapo,R,1.931521412,,HP,1.098612289
Female,Guanapo,R,2.104134154,,HP,1.131402111
Female,Guanapo,R,1.887069649,,HP,1.16315081
Female,Guanapo,R,2.116255515,,HP,
Female,Guanapo,R,1.757857918,,HP,0.993251773
Female,Guanapo,R,1.85629799,,HP,0.78845736
Female,Guanapo,R,2.163323026,,HP,1.410986974
Female,Guanapo,R,1.871802177,,HP,0.993251773
Female,Guanapo,R,1.902107526,,HP,1.526056303
Female,Guanapo,HP,2.116255515,,HP,1.131402111
Female,Guanapo,HP,1.987874348,,HP,0.916290732
Female,Guanapo,HP,1.945910149,,HP,0.470003629
Female,Guanapo,HP,2.128231706,,HP,0.993251773
Female,Guanapo,HP,1.85629799,,HP,1.386294361
Female,Guanapo,HP,1.791759469,,HP,0.955511445
Female,Guanapo,HP,1.916922612,,HP,1.131402111
Female,Guanapo,HP,1.974081026,,HP,1.131402111
Female,Guanapo,HP,1.945910149,,HP,1.30833282
Female,Guanapo,HP,1.931521412,,HP,0.916290732
Female,Guanapo,HP,1.945910149,,HP,1.131402111
Female,Guanapo,HP,2.00148,,HP,1.280933845
Female,Guanapo,HP,1.791759469,,HP,1.30833282
Female,Guanapo,HP,1.987874348,,HP,
Female,Guanapo,HP,2.00148,,HP,1.098612289
Female,Guanapo,HP,1.987874348,,HP,
Female,Guanapo,HP,1.871802177,,HP,1.029619417
Female,Guanapo,HP,1.757857918,,HP,0.641853886
Female,Guanapo,HP,1.974081026,,HP,0.693147181
Female,Guanapo,HP,2.014903021,,HP,1.648658626
Female,Guanapo,HP,1.774952351,,HP,0.470003629
Female,Guanapo,HP,2.041220329,,HP,0.641853886
Female,Guanapo,HP,1.704748092,,HP,1.16315081
Female,Guanapo,HP,1.757857918,,HP,1.029619417
Female,Guanapo,HP,1.85629799,,HP,1.193922468
Male,Arima,HP,1.029619417,,HP,0.832909123
Male,Arima,HP,1.098612289,,HP,
Male,Arima,HP,1.131402111,,HP,0.832909123
Male,Arima,HP,1.16315081,,HP,1.029619417
Male,Arima,HP,,,HP,1.029619417
Male,Arima,HP,0.993251773,,HP,0.832909123
Male,Arima,HP,0.78845736,,HP,1.098612289
