Sex,Predation,Brain Size (inches)
Female,yes,1.686398954
Female,yes,1.824549292
Female,yes,1.987874348
Female,yes,2.128231706
Female,yes,1.987874348
Female,yes,1.916922612
Female,yes,1.945910149
Female,yes,1.887069649
Female,yes,1.85629799
Female,yes,1.871802177
Female,yes,1.916922612
Female,yes,1.931521412
Female,yes,1.840549633
Female,yes,1.774952351
Female,yes,1.85629799
Female,yes,1.686398954
Female,yes,1.774952351
Female,yes,1.840549633
Female,yes,1.887069649
Female,yes,1.871802177
Female,yes,1.871802177
Female,no,1.887069649
Female,no,1.85629799
Female,no,2.079441542
Female,no,1.791759469
Female,no,1.945910149
Female,no,1.931521412
Female,no,2.116255515
Female,no,2.066862759
Female,no,1.871802177
Female,no,1.931521412
Female,no,1.840549633
Female,no,1.916922612
Female,no,1.85629799
Female,no,1.840549633
Female,no,1.824549292
Female,no,1.840549633
Female,no,1.887069649
Female,no,2.186051277
Female,no,2.091864062
Female,no,2.066862759
Female,no,2.066862759
Female,no,2.054123734
Female,no,2.066862759
Female,no,2.091864062
Female,no,1.916922612
Female,no,2.028148247
Female,no,1.931521412
Female,no,2.104134154
Female,no,1.887069649
Female,no,2.116255515
Female,no,1.757857918
Female,no,1.85629799
Female,no,2.163323026
Female,no,1.871802177
Female,no,1.902107526
Female,yes,2.116255515
Female,yes,1.987874348
Female,yes,1.945910149
Female,yes,2.128231706
Female,yes,1.85629799
Female,yes,1.791759469
Female,yes,1.916922612
Female,yes,1.974081026
Female,yes,1.945910149
Female,yes,1.931521412
Female,yes,1.945910149
Female,yes,2.00148
Female,yes,1.791759469
Female,yes,1.987874348
Female,yes,2.00148
Female,yes,1.987874348
Female,yes,1.871802177
Female,yes,1.757857918
Female,yes,1.974081026
Female,yes,2.014903021
Female,yes,1.774952351
Female,yes,2.041220329
Female,yes,1.704748092
Female,yes,1.757857918
Female,yes,1.85629799
Male,yes,1.029619417
Male,yes,1.098612289
Male,yes,1.131402111
Male,yes,1.16315081
Male,yes,
Male,yes,0.993251773
Male,yes,0.78845736
Male,yes,1.410986974
Male,yes,0.993251773
Male,yes,1.526056303
Male,yes,1.131402111
Male,yes,0.916290732
Male,yes,0.470003629
Male,yes,0.993251773
Male,yes,1.386294361
Male,yes,0.955511445
Male,yes,1.131402111
Male,yes,1.131402111
Male,yes,1.30833282
Male,yes,0.916290732
Male,yes,1.131402111
Male,yes,1.280933845
Male,no,1.568615918
Male,no,1.62924054
Male,no,1.740466175
Male,no,1.568615918
Male,no,
Male,no,1.609437912
Male,no,1.686398954
Male,no,1.458615023
Male,no,1.774952351
Male,no,1.589235205
Male,no,1.667706821
Male,no,1.335001067
Male,no,1.504077397
Male,no,1.335001067
Male,no,1.335001067
Male,no,1.386294361
Male,no,1.30833282
Male,no,1.740466175
Male,no,1.481604541
Male,no,1.410986974
Male,no,1.30833282
Male,no,1.481604541
Male,no,1.704748092
Male,no,1.568615918
Male,no,1.757857918
Male,no,1.722766598
Male,no,
Male,no,1.458615023
Male,no,1.360976553
Male,no,1.589235205
Male,no,1.223775432
Male,no,1.774952351
Male,no,1.871802177
Male,no,1.667706821
Male,no,1.252762968
Male,no,
Male,no,1.30833282
Male,no,1.360976553
Male,no,1.193922468
Male,no,1.280933845
Male,no,1.098612289
Male,no,1.458615023
Male,no,1.386294361
Male,no,1.16315081
Male,no,1.30833282
Male,no,1.740466175
Male,no,1.30833282
Male,yes,1.30833282
Male,yes,
Male,yes,1.098612289
Male,yes,
Male,yes,1.029619417
Male,yes,0.641853886
Male,yes,0.693147181
Male,yes,1.648658626
Male,yes,0.470003629
Male,yes,0.641853886
Male,yes,1.16315081
Male,yes,1.029619417
Male,yes,1.193922468
Male,yes,0.832909123
Male,yes,
Male,yes,0.832909123
Male,yes,1.029619417
Male,yes,1.029619417
Male,yes,0.832909123
Male,yes,1.098612289
Male,yes,
